number,name,status
480,Surviving a Compromise of PyPI: End-to-end signing of packages,
467,Minor API improvements for binary sequences,
3121,Extension Module Initialization and Finalization,
714,Rename dist-info-metadata in the Simple API,
554,Multiple Interpreters in the Stdlib,
709,Inlined comprehensions,
701,Syntactic formalization of f-strings,
700,Additional Fields for the Simple API for Package Indexes,
699,Remove private dict version field added in PEP 509,
695,Type Parameter Syntax,
692,Using TypedDict for more precise **kwargs typing,
691,JSON-based Simple API for Python Package Indexes,
688,Making the buffer protocol accessible in Python,
687,Isolating modules in the standard library,
698,Override Decorator for Static Typing,
686,Make UTF-8 mode default,
685,Comparison of extra names for optional distribution dependencies,
684,A Per-Interpreter GIL,
683,"Immortal Objects, Using a Fixed Refcount",
681,Data Class Transforms,
673,Self Type,
680,tomllib: Support for Parsing TOML in the Standard Library,
678,Enriching Exceptions with Notes,
675,Arbitrary Literal String Type,
669,Low Impact Monitoring for CPython,
668,Marking Python base environments as “externally managed”,
658,Serve Distribution Metadata in the Simple Repository API,
655,Marking individual TypedDict items as required or potentially-missing,
654,Exception Groups and except*,
649,Deferred Evaluation Of Annotations Using Descriptors,
647,User-Defined Type Guards,
646,Variadic Generics,
632,Deprecate distutils module,
617,New PEG parser for CPython,
612,Parameter Specification Variables,
634,Structural Pattern Matching: Specification,
604,Allow writing union types as ,
625,Filename of a Source Distribution,
615,Support for the IANA Time Zone Database in the Standard Library,
613,Explicit Type Aliases,
593,Flexible function and variable annotations,
591,Adding a final qualifier to typing,
590,Vectorcall: a fast calling protocol for CPython,
589,TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,
586,Literal Types,
563,Postponed Evaluation of Annotations,
578,Python Runtime Audit Hooks,
560,Core support for typing module and generic types,
8104,2023 Term Steering Council election,
8103,2022 Term Steering Council election,
544,Protocols: Structural subtyping (static duck typing),
8102,2021 Term Steering Council election,
458,Secure PyPI downloads with signed repository metadata,
8101,2020 Term Steering Council election,
8100,January 2019 Steering Council election,
708,Extending the Repository API to Mitigate Dependency Confusion Attacks,
801,Reserved,
8000,Python Language Governance Proposal Overview,
719,Python 3.13 Release Schedule,
672,Unicode-related Security Considerations for Python,
8016,The Steering Council Model,
8002,Open Source Governance Survey,
3333,Python Web Server Gateway Interface v1.0.1,
693,Python 3.12 Release Schedule,
664,Python 3.11 Release Schedule,
630,Isolating Extension Modules,
619,Python 3.10 Release Schedule,
607,Reducing CPython’s Feature Delivery Latency,
636,Structural Pattern Matching: Tutorial,
602,Annual Release Cycle for Python,
635,Structural Pattern Matching: Motivation and Rationale,
596,Python 3.9 Release Schedule,
482,Literature Overview for Type Hints,
579,Refactoring C functions and methods,
452,API for Cryptographic Hash Functions v2.0,
569,Python 3.8 Release Schedule,
514,Python registration in the Windows registry,
483,The Theory of Type Hints,
457,Notation For Positional-Only Parameters,
434,IDLE Enhancement Exception for All Branches,
609,Python Packaging Authority (PyPA) Governance,
581,Using GitHub Issues for CPython,
387,Backwards Compatibility Policy,
13,Python Language Governance,
11,CPython platform support,
10,Voting Guidelines,
8,Style Guide for Python Code,
12,Sample reStructuredText PEP Template,
7,Style Guide for C Code,
6,Bug Fix Releases,
5,Guidelines for Language Evolution,
4,Deprecation of Standard Modules,
2,Procedure for Adding New Modules,
