number,name,status
440,Version Identification and Dependency Specification,
441,Improving Python ZIP Application Support,
428,The pathlib module ,
427,The Wheel Binary Package Format 1.0,
425,Compatibility Tags for Built Distributions,
436,The Argument Clinic DSL,
424,A method for exposing a length hint,
435,Adding an Enum type to the Python standard library,
421,Adding sys.implementation,
420,Implicit Namespace Packages,
409,Suppressing exception context,
417,Including mock in the Standard Library,
418,"Add monotonic time, performance counter, and process time functions",
415,Implement context suppression with exception attributes,
412,Key-Sharing Dictionary,
414,Explicit Unicode Literal for Python 3.3,
405,Python Virtual Environments,
397,Python launcher for Windows,
389,argparse - New Command Line Parsing Module,
393,Flexible String Representation,
383,Non-decodable Bytes in System Character Interfaces,
378,Format Specifier for Thousands Separator,
391,Dictionary-Based Configuration For Logging,
380,Syntax for Delegating to a Subgenerator,
376,Database of Installed Python Distributions,
384,Defining a Stable ABI,
372,Adding an ordered dictionary to collections,
371,Addition of the multiprocessing package to the standard library,
366,Main module explicit relative imports,
357,Allowing Any Object to be Used for Slicing,
358,The “bytes” Object,
362,Function Signature Object,
370,Per user site-packages directory,
353,Using ssize_t as the index type,
352,Required Superclass for Exceptions,
343,The “with” Statement,
341,Unifying try-except and try-finally,
342,Coroutines via Enhanced Generators,
324,subprocess - New process module,
331,Locale-Independent Float/String Conversions,
327,Decimal Data Type,
338,Executing modules as scripts,
328,Imports: Multi-Line and Absolute/Relative,
322,Reverse Iteration,
318,Decorators for Functions and Methods,
311,Simplified Global Interpreter Lock Acquisition for Extensions,
309,Partial Function Application,
308,Conditional Expressions,
302,New Import Hooks,
301,Package Index and Metadata for Distutils,Either “success” or “fail”.
305,CSV File API,
285,Adding a bool type,
292,Simpler String Substitutions,
293,Codec Error Handling Callbacks,
289,Generator Expressions,
279,The enumerate() built-in function,
282,A Logging System,
277,Unicode file name support for Windows NT,
278,Universal Newline Support,
274,Dict Comprehensions,
263,Defining Python Source Code Encodings,
255,Simple Generators,
273,Import Modules from Zip Archives,
264,Future statements in simulated shells,
260,Simplify xrange(),
261,Support for “wide” Unicode characters,
253,Subtyping Built-in Types,
252,Making Types Look More Like Classes,
250,Using site-packages on Windows,
238,Changing the Division Operator,
236,Back to the __future__,
235,Import on Case-Insensitive Platforms,
237,Unifying Long Integers and Integers,
234,Iterators,
229,Using Distutils to Build Python,
230,Warning Framework,
232,Function Attributes,
227,Statically Nested Scopes,
223,Change the Meaning of ,
218,Adding a Built-In Set Object Type,
214,Extended Print Statement,
217,Display Hook for Interactive Use,
221,Import As,
208,Reworking the Coercion Model,
207,Rich Comparisons,
205,Weak References,
203,Augmented Assignments,
100,Python Unicode Integration,
202,List Comprehensions,
201,Lockstep Iteration,
726,Module ,
727,Documentation Metadata in Typing,
725,Specifying external dependencies in pyproject.toml,
723,Embedding pyproject.toml in single-file scripts,
722,Dependency specification for single-file scripts,
720,Cross-compiling Python packages,
718,Subscriptable functions,
712,Adding a “converter” parameter to dataclasses.field,
710,Recording the provenance of installed packages,
711,PyBI: a standard format for distributing Python Binaries,
705,TypedMapping: Type Hints for Mappings with a Fixed Set of Keys,
703,Making the Global Interpreter Lock Optional in CPython,
702,Marking deprecations using the type system,
696,Type defaults for TypeVarLikes,
694,Upload 2.0 API for Python Package Repositories,
679,Allow parentheses in assert statements,
667,Consistent views of namespaces,
671,Syntax for late-bound function argument defaults,
661,Sentinel Values,
659,Specializing Adaptive Interpreter,
653,Precise Semantics for Pattern Matching,
603,Adding a frozenmap type to collections,
588,GitHub Issues Migration Plan,
639,Improving License Clarity with Better Package Metadata,
638,Syntactic Macros,
554,Multiple Interpreters in the Stdlib,
480,Surviving a Compromise of PyPI: End-to-end signing of packages,
698,Override Decorator for Static Typing,
467,Minor API improvements for binary sequences,
3121,Extension Module Initialization and Finalization,
700,Additional Fields for the Simple API for Package Indexes,
714,Rename dist-info-metadata in the Simple API,
709,Inlined comprehensions,
699,Remove private dict version field added in PEP 509,
701,Syntactic formalization of f-strings,
695,Type Parameter Syntax,
688,Making the buffer protocol accessible in Python,
692,Using TypedDict for more precise **kwargs typing,
691,JSON-based Simple API for Python Package Indexes,
687,Isolating modules in the standard library,
686,Make UTF-8 mode default,
684,A Per-Interpreter GIL,
685,Comparison of extra names for optional distribution dependencies,
683,"Immortal Objects, Using a Fixed Refcount",
678,Enriching Exceptions with Notes,
681,Data Class Transforms,
673,Self Type,
680,tomllib: Support for Parsing TOML in the Standard Library,
675,Arbitrary Literal String Type,
668,Marking Python base environments as “externally managed”,
669,Low Impact Monitoring for CPython,
658,Serve Distribution Metadata in the Simple Repository API,
646,Variadic Generics,
647,User-Defined Type Guards,
655,Marking individual TypedDict items as required or potentially-missing,
654,Exception Groups and except*,
649,Deferred Evaluation Of Annotations Using Descriptors,
634,Structural Pattern Matching: Specification,
632,Deprecate distutils module,
625,Filename of a Source Distribution,
617,New PEG parser for CPython,
604,Allow writing union types as ,
615,Support for the IANA Time Zone Database in the Standard Library,
612,Parameter Specification Variables,
593,Flexible function and variable annotations,
591,Adding a final qualifier to typing,
590,Vectorcall: a fast calling protocol for CPython,
613,Explicit Type Aliases,
589,TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,
560,Core support for typing module and generic types,
544,Protocols: Structural subtyping (static duck typing),
708,Extending the Repository API to Mitigate Dependency Confusion Attacks,
563,Postponed Evaluation of Annotations,
586,Literal Types,
578,Python Runtime Audit Hooks,
458,Secure PyPI downloads with signed repository metadata,
8104,2023 Term Steering Council election,
8100,January 2019 Steering Council election,
8016,The Steering Council Model,
8101,2020 Term Steering Council election,
8002,Open Source Governance Survey,
8102,2021 Term Steering Council election,
8000,Python Language Governance Proposal Overview,
8103,2022 Term Steering Council election,
693,Python 3.12 Release Schedule,
664,Python 3.11 Release Schedule,
801,Reserved,
719,Python 3.13 Release Schedule,
672,Unicode-related Security Considerations for Python,
636,Structural Pattern Matching: Tutorial,
3333,Python Web Server Gateway Interface v1.0.1,
635,Structural Pattern Matching: Motivation and Rationale,
619,Python 3.10 Release Schedule,
630,Isolating Extension Modules,
569,Python 3.8 Release Schedule,
607,Reducing CPython’s Feature Delivery Latency,
602,Annual Release Cycle for Python,
514,Python registration in the Windows registry,
483,The Theory of Type Hints,
596,Python 3.9 Release Schedule,
457,Notation For Positional-Only Parameters,
482,Literature Overview for Type Hints,
452,API for Cryptographic Hash Functions v2.0,
394,The “python” Command on Unix-Like Systems,
333,Python Web Server Gateway Interface v1.0,
434,IDLE Enhancement Exception for All Branches,
399,Pure Python/C Accelerator Module Compatibility Requirements,
430,Migrating to Python 3 as the default online documentation,
290,Code Migration and Modernization,
287,reStructuredText Docstring Format,
291,Backward Compatibility for the Python 2 Standard Library,
249,Python Database API Specification v2.0,
257,Docstring Conventions,
247,API for Cryptographic Hash Functions,
248,Python Database API Specification v1.0,
272,API for Block Encryption Algorithms v1.0,
20,The Zen of Python,
101,Doing Python Releases 101,
